,year,residents,state,amount,sentence
0,2020,"159,494",Alabama,$3.7 billion,"In 2020, 159,494 residents of Alabama received a total of $3.7 billion in pension benefits from state and local pension plans."
1,2020,"51,103",Alaska,$1.5 billion,"In 2020, 51,103 residents of Alaska received a total of $1.5 billion in pension benefits from state and local pension plans."
2,2020,"198,465",Arizona,$4.8 billion,"In 2020, 198,465 residents of Arizona received a total of $4.8 billion in pension benefits from state and local pension plans."
3,2020,"105,645",Arkansas,$1.9 billion,"In 2020, 105,645 residents of Arkansas received a total of $1.9 billion in pension benefits from state and local pension plans."
4,2020,"1,533,284",California,$61.5 billion,"In 2020, 1,533,284 residents of California received a total of $61.5 billion in pension benefits from state and local pension plans."
5,2020,"155,302",Colorado,$5.5 billion,"In 2020, 155,302 residents of Colorado received a total of $5.5 billion in pension benefits from state and local pension plans."
6,2020,"130,876",Connecticut,$5.5 billion,"In 2020, 130,876 residents of Connecticut received a total of $5.5 billion in pension benefits from state and local pension plans."
7,2020,"35,204",Delaware,$807.9 million,"In 2020, 35,204 residents of Delaware received a total of $807.9 million in pension benefits from state and local pension plans."
8,2020,"531,107",Florida,$13.6 billion,"In 2020, 531,107 residents of Florida received a total of $13.6 billion in pension benefits from state and local pension plans."
9,2020,"276,666",Georgia,$10.0 billion,"In 2020, 276,666 residents of Georgia received a total of $10.0 billion in pension benefits from state and local pension plans."
10,2020,"51,153",Hawaii,$1.5 billion,"In 2020, 51,153 residents of Hawaii received a total of $1.5 billion in pension benefits from state and local pension plans."
11,2020,"50,209",Idaho,$1.0 billion,"In 2020, 50,209 residents of Idaho received a total of $1.0 billion in pension benefits from state and local pension plans."
12,2020,"541,778",Illinois,$21.6 billion,"In 2020, 541,778 residents of Illinois received a total of $21.6 billion in pension benefits from state and local pension plans."
13,2020,"167,672",Indiana,$2.7 billion,"In 2020, 167,672 residents of Indiana received a total of $2.7 billion in pension benefits from state and local pension plans."
14,2020,"131,882",Iowa,$2.6 billion,"In 2020, 131,882 residents of Iowa received a total of $2.6 billion in pension benefits from state and local pension plans."
15,2020,"109,683",Kansas,$2.0 billion,"In 2020, 109,683 residents of Kansas received a total of $2.0 billion in pension benefits from state and local pension plans."
16,2020,"173,941",Kentucky,$4.5 billion,"In 2020, 173,941 residents of Kentucky received a total of $4.5 billion in pension benefits from state and local pension plans."
17,2020,"186,529",Louisiana,$5.7 billion,"In 2020, 186,529 residents of Louisiana received a total of $5.7 billion in pension benefits from state and local pension plans."
18,2020,"47,350",Maine,$1.1 billion,"In 2020, 47,350 residents of Maine received a total of $1.1 billion in pension benefits from state and local pension plans."
19,2020,"217,422",Maryland,$5.8 billion,"In 2020, 217,422 residents of Maryland received a total of $5.8 billion in pension benefits from state and local pension plans."
20,2020,"237,387",Massachusetts,$8.9 billion,"In 2020, 237,387 residents of Massachusetts received a total of $8.9 billion in pension benefits from state and local pension plans."
21,2020,"391,523",Michigan,$9.6 billion,"In 2020, 391,523 residents of Michigan received a total of $9.6 billion in pension benefits from state and local pension plans."
22,2020,"244,226",Minnesota,$5.3 billion,"In 2020, 244,226 residents of Minnesota received a total of $5.3 billion in pension benefits from state and local pension plans."
23,2020,"110,856",Mississippi,$2.9 billion,"In 2020, 110,856 residents of Mississippi received a total of $2.9 billion in pension benefits from state and local pension plans."
24,2020,"235,833",Missouri,$5.7 billion,"In 2020, 235,833 residents of Missouri received a total of $5.7 billion in pension benefits from state and local pension plans."
25,2020,"46,026",Montana,$939.5 million,"In 2020, 46,026 residents of Montana received a total of $939.5 million in pension benefits from state and local pension plans."
